"TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"Aalst (Aalst)","41002","Autosnelweg",1,0,0,0,0,0,1
"Aalter","44084","Autosnelweg",0,0,2,0,2,1,5
"Aarlen","81001","Autosnelweg",0,3,1,0,0,0,4
"Aartselaar","11001","Autosnelweg",0,0,1,0,0,1,2
"Aat","51004","Autosnelweg",1,0,0,0,0,0,1
"Affligem","23105","Autosnelweg",0,0,0,1,0,0,1
"Anderlecht","21001","Autosnelweg",0,0,1,2,0,0,3
"Ans","62003","Autosnelweg",0,1,1,0,2,0,4
"Antwerpen","11002","Autosnelweg",2,3,2,2,3,5,17
"Ardooie","37020","Autosnelweg",0,0,2,1,0,1,4
"Asse","23002","Autosnelweg",0,0,0,0,1,0,1
"Assesse","92006","Autosnelweg",0,0,0,1,0,0,1
"Awans","62006","Autosnelweg",0,1,1,1,0,0,3
"Aywaille","62009","Autosnelweg",0,1,0,1,0,0,2
"Baelen","63004","Autosnelweg",1,0,0,0,0,0,1
"Bastenaken","82003","Autosnelweg",0,0,0,0,0,1,1
"Beernem","31003","Autosnelweg",0,0,0,0,2,0,2
"Beersel","23003","Autosnelweg",1,0,0,0,1,0,2
"Bekkevoort","24008","Autosnelweg",1,1,0,0,0,0,2
"Bergen","53053","Autosnelweg",2,2,2,4,0,1,11
"Beringen","71004","Autosnelweg",0,0,1,0,1,0,2
"Berlare","42003","Autosnelweg",0,1,0,0,0,0,1
"Berloz","64008","Autosnelweg",1,0,0,0,0,0,1
"Bertogne","82005","Autosnelweg",0,0,0,0,0,1,1
"Beveren (Sint-Niklaas)","46003","Autosnelweg",1,1,1,1,1,2,7
"Bierbeek","24011","Autosnelweg",1,0,0,0,0,0,1
"Bitsingen","62011","Autosnelweg",1,0,0,1,0,0,2
"Blegny","62119","Autosnelweg",0,0,0,0,0,1,1
"Boom","11005","Autosnelweg",0,0,0,0,1,1,2
"Borgworm","64074","Autosnelweg",2,0,0,1,0,1,4
"Brecht","11009","Autosnelweg",2,3,0,1,0,0,6
"Brugge","31005","Autosnelweg",1,0,0,0,2,1,4
"Brussel","21004","Autosnelweg",0,0,1,1,0,0,2
"Celles (Doornik)","57018","Autosnelweg",0,0,1,0,1,0,2
"Chapelle-lez-Herlaimont","52010","Autosnelweg",0,0,0,1,0,0,1
"Charleroi","52011","Autosnelweg",1,1,4,1,1,2,10
"Chaudfontaine","62022","Autosnelweg",1,0,0,0,0,0,1
"Chaumont-Gistoux","25018","Autosnelweg",0,0,0,0,1,0,1
"Châtelet","52012","Autosnelweg",2,2,0,0,0,0,4
"Courcelles","52015","Autosnelweg",0,0,1,0,0,1,2
"Damme","31006","Autosnelweg",0,0,1,0,0,0,1
"De Panne","38008","Autosnelweg",0,0,0,0,1,0,1
"De Pinte","44012","Autosnelweg",1,0,0,1,0,0,2
"Deerlijk","34009","Autosnelweg",1,0,0,0,0,0,1
"Deinze","44083","Autosnelweg",0,1,1,0,0,0,2
"Destelbergen","44013","Autosnelweg",0,0,1,2,0,0,3
"Diepenbeek","71011","Autosnelweg",0,1,0,1,0,0,2
"Dilbeek","23016","Autosnelweg",1,0,0,1,0,1,3
"Doornik","57081","Autosnelweg",4,2,2,2,1,2,13
"Drogenbos","23098","Autosnelweg",0,0,1,0,0,0,1
"Edegem","11013","Autosnelweg",0,1,0,0,0,1,2
"Edingen","51067","Autosnelweg",0,0,0,1,0,0,1
"Eghezée","92035","Autosnelweg",0,0,0,1,0,0,1
"Eigenbrakel","25014","Autosnelweg",0,0,1,0,0,1,2
"Erpe-Mere","41082","Autosnelweg",0,0,0,0,0,1,1
"Esneux","62032","Autosnelweg",1,0,0,0,0,0,1
"Estaimpuis","57027","Autosnelweg",0,0,1,0,1,0,2
"Evere","21006","Autosnelweg",0,0,0,1,0,0,1
"Fernelmont","92138","Autosnelweg",0,0,0,0,1,0,1
"Ferrières","61019","Autosnelweg",0,0,1,0,0,0,1
"Fleurus","52021","Autosnelweg",2,2,2,0,1,0,7
"Flémalle","62120","Autosnelweg",0,1,0,0,0,0,1
"Fontaine-l’Evêque","52022","Autosnelweg",0,0,0,1,0,1,2
"Frasnes-lez-Anvaing","51065","Autosnelweg",1,0,0,1,0,0,2
"Geel","13008","Autosnelweg",0,0,0,0,0,2,2
"Genk","71016","Autosnelweg",0,0,1,0,0,0,1
"Gent","44021","Autosnelweg",1,3,3,1,1,1,10
"Gistel","35005","Autosnelweg",0,0,0,0,1,0,1
"Grimbergen","23025","Autosnelweg",0,1,1,0,2,0,4
"Grobbendonk","13010","Autosnelweg",0,1,0,1,0,0,2
"Grâce-Hollogne","62118","Autosnelweg",2,1,3,2,0,0,8
"Habay","85046","Autosnelweg",1,0,0,1,0,1,3
"Halle (Halle-Vilvoorde)","23027","Autosnelweg",2,0,1,0,0,1,4
"Ham","71069","Autosnelweg",0,0,0,0,0,1,1
"Harelbeke","34013","Autosnelweg",0,0,0,0,0,1,1
"Hasselt","71022","Autosnelweg",1,0,0,0,1,0,2
"Hensies","53039","Autosnelweg",0,1,0,0,0,0,1
"Herentals","13011","Autosnelweg",0,1,0,0,1,0,2
"Herstal","62051","Autosnelweg",1,0,0,1,0,1,3
"Herve","63035","Autosnelweg",1,1,1,0,0,0,3
"Hoeselt","73032","Autosnelweg",0,0,0,0,1,0,1
"Hoogstraten","13014","Autosnelweg",0,0,0,1,2,1,4
"Houffalize","82014","Autosnelweg",0,0,0,0,0,1,1
"Houthalen-Helchteren","72039","Autosnelweg",0,0,0,0,2,1,3
"Hélécine","25118","Autosnelweg",0,0,1,0,0,0,1
"Héron","61028","Autosnelweg",1,0,0,0,0,0,1
"Itter","25044","Autosnelweg",1,0,0,1,0,0,2
"Jabbeke","31012","Autosnelweg",1,1,0,0,0,0,2
"Jalhay","63038","Autosnelweg",0,1,1,0,1,0,3
"Jemeppe-sur-Sambre","92140","Autosnelweg",0,1,1,0,0,0,2
"Juprelle","62060","Autosnelweg",0,0,0,0,0,1,1
"Kasteelbrakel","25015","Autosnelweg",1,2,0,0,0,0,3
"Kontich","11024","Autosnelweg",0,0,0,0,1,0,1
"Kortenberg","24055","Autosnelweg",1,0,0,0,3,1,5
"Kortrijk","34022","Autosnelweg",2,2,1,2,2,4,13
"Kraainem","23099","Autosnelweg",0,0,0,1,1,0,2
"Kruibeke","46013","Autosnelweg",0,0,1,1,1,1,4
"Kruisem","45068","Autosnelweg",1,1,0,0,0,0,2
"La Bruyère","92141","Autosnelweg",0,1,0,0,1,0,2
"La Louvière","58001","Autosnelweg",0,1,2,0,0,1,4
"Laakdal","13053","Autosnelweg",0,0,1,0,0,1,2
"Laarne","42010","Autosnelweg",1,0,0,0,0,0,1
"Landen","24059","Autosnelweg",0,0,1,1,1,0,3
"Le Roeulx","55035","Autosnelweg",1,0,3,0,0,0,4
"Les Bons Villers","52075","Autosnelweg",0,1,0,0,0,0,1
"Leuven","24062","Autosnelweg",0,1,0,1,0,0,2
"Libin","84035","Autosnelweg",0,0,1,0,0,0,1
"Libramont-Chevigny","84077","Autosnelweg",1,0,2,0,1,0,4
"Lichtervelde","36011","Autosnelweg",1,0,0,0,0,0,1
"Lijsem","64047","Autosnelweg",0,1,0,0,0,0,1
"Lille","13019","Autosnelweg",0,0,0,0,0,1,1
"Limburg","63046","Autosnelweg",0,0,2,0,0,0,2
"Lochristi","44034","Autosnelweg",0,0,0,3,1,2,6
"Lokeren","46014","Autosnelweg",1,1,0,0,1,0,3
"Londerzeel","23045","Autosnelweg",0,0,1,0,0,0,1
"Lontzen","63048","Autosnelweg",0,0,1,0,0,0,1
"Luik","62063","Autosnelweg",1,0,0,0,1,0,2
"Lummen","71037","Autosnelweg",1,0,0,0,0,1,2
"Maasmechelen","73107","Autosnelweg",0,1,1,0,0,0,2
"Machelen (Halle-Vilvoorde)","23047","Autosnelweg",0,0,0,1,0,0,1
"Maldegem","43010","Autosnelweg",0,0,0,0,1,1,2
"Manage","55086","Autosnelweg",0,1,0,0,1,0,2
"Manhay","83055","Autosnelweg",0,0,1,1,0,1,3
"Mechelen","12025","Autosnelweg",0,1,1,0,0,0,2
"Meise","23050","Autosnelweg",1,1,1,0,0,0,3
"Melle","44040","Autosnelweg",0,0,1,0,0,1,2
"Menen","34027","Autosnelweg",0,1,1,0,0,0,2
"Messancy","81015","Autosnelweg",0,0,0,1,0,0,1
"Middelkerke","35011","Autosnelweg",1,2,1,0,0,0,4
"Moerbeke (Gent)","44045","Autosnelweg",0,0,0,0,0,1,1
"Moeskroen","57096","Autosnelweg",0,1,1,0,0,0,2
"Mol","13025","Autosnelweg",0,0,0,1,0,0,1
"Namen","92094","Autosnelweg",1,1,1,2,2,0,7
"Nazareth","44048","Autosnelweg",1,1,0,1,0,0,3
"Neufchâteau (Neufchâteau)","84043","Autosnelweg",0,0,0,0,1,0,1
"Nieuwpoort","38016","Autosnelweg",1,0,0,0,0,0,1
"Nijvel","25072","Autosnelweg",0,0,1,0,0,1,2
"Olen","13029","Autosnelweg",0,0,0,1,0,0,1
"Oostende","35013","Autosnelweg",0,0,0,0,1,0,1
"Oostkamp","31022","Autosnelweg",0,2,1,1,0,0,4
"Opzullik","51068","Autosnelweg",0,0,1,0,0,0,1
"Ottignies-Louvain-la-Neuve","25121","Autosnelweg",0,2,0,0,0,0,2
"Oud-Turnhout","13031","Autosnelweg",2,0,0,0,0,0,2
"Oudenburg","35014","Autosnelweg",0,1,0,0,0,0,1
"Oudergem","21002","Autosnelweg",0,0,0,0,1,1,2
"Perwijs (Nijvel)","25084","Autosnelweg",0,1,0,1,0,0,2
"Pont-à-Celles","52055","Autosnelweg",2,0,1,1,0,0,4
"Puurs-Sint-Amands","12041","Autosnelweg",0,1,0,0,1,0,2
"Péruwelz","57064","Autosnelweg",0,0,1,0,0,0,1
"Raeren","63061","Autosnelweg",0,0,0,2,0,1,3
"Ranst","11035","Autosnelweg",0,1,4,0,1,0,6
"Rebecq","25123","Autosnelweg",0,0,0,1,0,0,1
"Remicourt","64063","Autosnelweg",0,1,0,0,0,0,1
"Rochefort","91114","Autosnelweg",1,0,2,0,0,0,3
"Roeselare","36015","Autosnelweg",1,0,0,0,0,1,2
"Rotselaar","24094","Autosnelweg",0,0,1,0,0,0,1
"Rumst","11037","Autosnelweg",0,0,1,0,1,0,2
"Saint-Ghislain","53070","Autosnelweg",1,1,0,0,0,0,2
"Sambreville","92137","Autosnelweg",0,2,0,0,0,0,2
"Schoten","11040","Autosnelweg",0,0,0,0,1,0,1
"Seneffe","55085","Autosnelweg",1,0,0,3,0,3,7
"Seraing","62096","Autosnelweg",0,1,0,0,0,0,1
"Sint-Gillis-Waas","46020","Autosnelweg",0,0,0,0,1,0,1
"Sint-Lambrechts-Woluwe","21018","Autosnelweg",0,0,0,0,1,0,1
"Sint-Niklaas (Sint-Niklaas)","46021","Autosnelweg",1,0,0,0,0,0,1
"Sint-Pieters-Leeuw","23077","Autosnelweg",0,2,0,0,1,0,3
"Sombreffe","92114","Autosnelweg",1,0,0,0,0,0,1
"Soumagne","62099","Autosnelweg",1,0,1,0,1,0,3
"Sprimont","62100","Autosnelweg",0,0,0,0,1,0,1
"Stabroek","11044","Autosnelweg",0,0,2,0,1,0,3
"Stavelot","63073","Autosnelweg",2,0,0,0,0,0,2
