"TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"Aalst (Aalst)","41002","Gewestweg",1,0,2,1,2,0,6
"Aalter","44084","Gewestweg",2,0,1,1,1,0,5
"Aarlen","81001","Gewestweg",0,1,3,1,1,1,7
"Aarschot","24001","Gewestweg",2,1,1,0,2,0,6
"Aartselaar","11001","Gewestweg",0,0,0,1,0,0,1
"Aat","51004","Gewestweg",1,4,3,0,1,2,11
"Affligem","23105","Gewestweg",0,1,0,0,0,1,2
"Alken","73001","Gewestweg",1,0,0,0,0,0,1
"Alveringem","38002","Gewestweg",0,0,0,0,1,2,3
"Amay","61003","Gewestweg",1,0,2,1,0,3,7
"Andenne","92003","Gewestweg",0,2,1,2,2,1,8
"Anderlecht","21001","Gewestweg",0,3,1,0,1,0,5
"Anderlues","56001","Gewestweg",0,0,1,0,0,0,1
"Anhée","91005","Gewestweg",2,0,0,1,2,1,6
"Ans","62003","Gewestweg",0,0,0,0,0,1,1
"Antoing","57003","Gewestweg",2,0,0,0,1,0,3
"Antwerpen","11002","Gewestweg",6,7,6,6,2,2,29
"Ardooie","37020","Gewestweg",0,0,0,1,0,0,1
"Arendonk","13001","Gewestweg",0,1,1,1,0,0,3
"Asse","23002","Gewestweg",1,0,0,1,0,0,2
"Assenede","43002","Gewestweg",1,1,0,0,0,0,2
"Assesse","92006","Gewestweg",2,0,0,1,0,0,3
"Aubange","81004","Gewestweg",0,0,2,1,0,0,3
"Awans","62006","Gewestweg",0,1,0,0,0,0,1
"Aywaille","62009","Gewestweg",1,0,0,0,2,1,4
"Baelen","63004","Gewestweg",1,0,1,2,1,0,5
"Balen","13003","Gewestweg",0,0,1,0,0,0,1
"Bastenaken","82003","Gewestweg",0,0,1,1,2,0,4
"Beaumont","56005","Gewestweg",1,1,2,0,2,2,8
"Beauraing","91013","Gewestweg",0,2,2,3,1,1,9
"Beerse","13004","Gewestweg",0,0,1,0,0,0,1
"Bekkevoort","24008","Gewestweg",1,0,0,1,0,1,3
"Beloeil","51008","Gewestweg",2,1,3,1,0,0,7
"Bergen","53053","Gewestweg",3,1,3,1,1,7,16
"Beringen","71004","Gewestweg",1,3,0,1,1,0,6
"Berlare","42003","Gewestweg",1,0,1,1,1,0,4
