"","DT_YEAR_COLLISION","DT_MONTH_COLLISION","DT_TIME","YEAR_MONTH_DAY","YEAR_MONTH_DAY_HOUR","TIME_DT","CD_NIS","TX_RGN_COLLISION_NL","TX_PROV_COLLISION_NL","TX_MUNTY_COLLISION_NL","LAT_WGS84","LONG_WGS84","TX_CROSSWAY_NL","TX_WEATHER_NL","TX_ROAD_CONDITION_NL","TX_BUILD_UP_AREA_NL","TX_LIGHT_CONDITION_NL","CD_ROAD_TYPE_NL","TX_CLASS_ACCIDENTS_NL","TX_ROAD_USR_TYPE1_NL","TX_ROAD_USR_TYPE2_NL","TX_COLLISION_TYPE_NL","TX_OBSTACLES_NL","HOUR"
"1","2017","01","14",2017-01-01,2017-01-01 14:00:00,2023-12-12 14:00:00,"23094","Vlaams Gewest","Provincie Vlaams-Brabant","Zaventem",50.8680094100001,4.46976476400005,"Buiten Kruispunt","Normaal","Nat, plassen","buiten bebouwde kom","Dag","Autosnelweg","Met doden","Lichte vrachtauto","Vrachtwagen","Tussen 2 bestuurders: Langs achteren","Geen hindernis","14"
"2","2019","02","16",2019-02-01,2019-02-01 16:00:00,2023-12-12 16:00:00,"23094","Vlaams Gewest","Provincie Vlaams-Brabant","Zaventem",50.8680094100001,4.46976476400005,"Buiten Kruispunt","Onbekend","Onbekend","onbekend","Dag","Autosnelweg","Met doden","onbekend","onbekend","Geen vermelding van de type aanrijding","Geen vermelding van de type aanrijding","16"
"3","2019","02","15",2019-02-01,2019-02-01 15:00:00,2023-12-12 15:00:00,"23094","Vlaams Gewest","Provincie Vlaams-Brabant","Zaventem",50.8680094100001,4.46976476400005,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Autosnelweg","Met doden","Vrachtwagen","Lichte vrachtauto","Kettingbotsing (3 bestuurders of meer)","Geen hindernis","15"
"4","2021","04","16",2021-04-01,2021-04-01 16:00:00,2023-12-12 16:00:00,"23094","Vlaams Gewest","Provincie Vlaams-Brabant","Zaventem",50.8680094100001,4.46976476400005,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Autosnelweg","Met doden","personenauto","personenauto","Tussen 2 bestuurders: Langs achteren","Geen hindernis","16"
"5","2021","05","14",2021-05-01,2021-05-01 14:00:00,2023-12-12 14:00:00,"23094","Vlaams Gewest","Provincie Vlaams-Brabant","Zaventem",50.8688324680001,4.46919499900002,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Autosnelweg","Met doden","Vrachtwagen","Vrachtwagen","Kettingbotsing (3 bestuurders of meer)","Geen hindernis","14"
"6","2017","01","04",2017-01-01,2017-01-01 04:00:00,2023-12-12 04:00:00,"52012","Waals Gewest","Provincie Henegouwen","Châtelet",50.4079071150001,4.49810738600007,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Autosnelweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Verlichtingspaal","04"
"7","2017","05","06",2017-05-01,2017-05-01 06:00:00,2023-12-12 06:00:00,"52012","Waals Gewest","Provincie Henegouwen","Châtelet",50.4063974750001,4.49961222500002,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Dageraad - schemering","Autosnelweg","dodelijk gewonden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Vangrails niet overgestoken","06"
"8","2017","01","00",2017-01-01,2017-01-01 00:00:00,2023-12-12 00:00:00,"62099","Waals Gewest","Provincie Luik","Soumagne",50.654368425,5.71008528700003,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Autosnelweg","Met doden","personenauto","Vrachtwagen","Tussen 2 bestuurders: Langs achteren","Geen hindernis","00"
"9","2019","03","01",2019-03-01,2019-03-01 01:00:00,2023-12-12 01:00:00,"62099","Waals Gewest","Provincie Luik","Soumagne",50.657614977,5.70520176900004,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Nacht, openb. verlicht. aanw., maar niet ontstoken","Autosnelweg","Met doden","personenauto","personenauto","Tussen 2 bestuurders: Langs achteren","Geen hindernis","01"
"10","2017","01","03",2017-01-01,2017-01-01 03:00:00,2023-12-12 03:00:00,"63038","Waals Gewest","Provincie Luik","Jalhay",50.5061710620001,5.95605977200006,"Buiten Kruispunt","Normaal","Nat, plassen","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Boom","03"
"11","2018","12","08",2018-12-01,2018-12-01 08:00:00,2023-12-12 08:00:00,"63038","Waals Gewest","Provincie Luik","Jalhay",50.5061710620001,5.95605977200006,"Buiten Kruispunt","Normaal","Nat, plassen","buiten bebouwde kom","Dag","Gewestweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Boom","08"
"12","2017","01","17",2017-01-01,2017-01-01 17:00:00,2023-12-12 17:00:00,"92035","Waals Gewest","Provincie Namen","Eghezée",50.575553541,4.88548082600005,"Buiten Kruispunt","Normaal","Nat, plassen","buiten bebouwde kom","Nacht, geen openbare verlichting aanwezig","Gewestweg","Met doden","personenauto","personenauto","Tussen 2 bestuurders: Frontale botsing","Geen hindernis","17"
"13","2017","09","17",2017-09-01,2017-09-01 17:00:00,2023-12-12 17:00:00,"92035","Waals Gewest","Provincie Namen","Eghezée",50.575553541,4.88548082600005,"Buiten Kruispunt","Normaal","Droog+Proper","buiten bebouwde kom","Dag","Gewestweg","Met doden","personenauto","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","17"
