"","DT_YEAR_COLLISION","DT_MONTH_COLLISION","DT_TIME","YEAR_MONTH_DAY","YEAR_MONTH_DAY_HOUR","TIME_DT","CD_NIS","TX_RGN_COLLISION_NL","TX_PROV_COLLISION_NL","TX_MUNTY_COLLISION_NL","LAT_WGS84","LONG_WGS84","TX_CROSSWAY_NL","TX_WEATHER_NL","TX_ROAD_CONDITION_NL","TX_BUILD_UP_AREA_NL","TX_LIGHT_CONDITION_NL","CD_ROAD_TYPE_NL","TX_CLASS_ACCIDENTS_NL","TX_ROAD_USR_TYPE1_NL","TX_ROAD_USR_TYPE2_NL","TX_COLLISION_TYPE_NL","TX_OBSTACLES_NL"
"1","2017","01","06",2017-01-01,2017-01-01 06:00:00,2024-01-02 06:00:00,"42028","Vlaams Gewest","Provincie Oost-Vlaanderen","Zele",51.073975583,3.97347301700006,"Buiten Kruispunt","Sneeuwval","Ijzel, sneeuw","buiten bebouwde kom","Nacht, geen openbare verlichting aanwezig","Autosnelweg","Met doden","Lichte vrachtauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Gracht"
"2","2017","01","05",2017-01-01,2017-01-01 05:00:00,2024-01-02 05:00:00,"36015","Vlaams Gewest","Provincie West-Vlaanderen","Roeselare",50.8987213350001,3.17624235800002,"Buiten Kruispunt","Sneeuwval+Hagelbui","Nat, plassen+Ijzel of sneeuw","buiten bebouwde kom","Nacht, geen openbare verlichting aanwezig","Autosnelweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Vangrails overschreden"
"3","2017","01","14",2017-01-01,2017-01-01 14:00:00,2024-01-02 14:00:00,"23094","Vlaams Gewest","Provincie Vlaams-Brabant","Zaventem",50.8680094100001,4.46976476400005,"Buiten Kruispunt","Normaal","Nat, plassen","buiten bebouwde kom","Dag","Autosnelweg","Met doden","Lichte vrachtauto","Vrachtwagen","Tussen 2 bestuurders: Langs achteren","Geen hindernis"
"4","2017","01","23",2017-01-01,2017-01-01 23:00:00,2024-01-02 23:00:00,"23016","Vlaams Gewest","Provincie Vlaams-Brabant","Dilbeek",50.8527007640001,4.27469099700005,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Autosnelweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Andere paal"
"5","2017","01","04",2017-01-01,2017-01-01 04:00:00,2024-01-02 04:00:00,"52012","Waals Gewest","Provincie Henegouwen","Châtelet",50.4079071150001,4.49810738600007,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Autosnelweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Verlichtingspaal"
"6","2017","01","00",2017-01-01,2017-01-01 00:00:00,2024-01-02 00:00:00,"24062","Vlaams Gewest","Provincie Vlaams-Brabant","Leuven",NA,NA,"Op Kruispunt","Regenval","Nat, plassen","binnen bebouwde kom","Nacht, geen openbare verlichting aanwezig","Gemeenteweg","Met doden","Andere weggebruiker","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"7","2017","01","09",2017-01-01,2017-01-01 09:00:00,2024-01-02 09:00:00,"62051","Waals Gewest","Provincie Luik","Herstal",50.6921125060001,5.57564781300005,"Buiten Kruispunt","Andere (dikke rook,...)","Nat, plassen","buiten bebouwde kom","Dag","Autosnelweg","Met doden","Vrachtwagen","Vrachtwagen","Tussen 2 bestuurders: Langs achteren","Geen hindernis"
"8","2017","01","00",2017-01-01,2017-01-01 00:00:00,2024-01-02 00:00:00,"62099","Waals Gewest","Provincie Luik","Soumagne",50.654368425,5.71008528700003,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Autosnelweg","Met doden","personenauto","Vrachtwagen","Tussen 2 bestuurders: Langs achteren","Geen hindernis"
"9","2017","01","17",2017-01-01,2017-01-01 17:00:00,2024-01-02 17:00:00,"25014","Waals Gewest","Provincie Waals-Brabant","Eigenbrakel",50.682590702,4.40040021400006,"Buiten Kruispunt","Regenval","Nat, plassen","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","Met doden","personenauto","Voetganger","Met een voetganger","Geen hindernis"
"10","2017","01","20",2017-01-01,2017-01-01 20:00:00,2024-01-02 20:00:00,"62108","Waals Gewest","Provincie Luik","Wezet",NA,NA,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, geen openbare verlichting aanwezig","Autosnelweg","Met doden","Lichte vrachtauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Vangrails overschreden"
