"","TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"1","Aalst (Aalst)","41002","Autosnelweg",1,0,0,0,0,0,1
"2","Aalst (Aalst)","41002","Gemeenteweg",1,1,1,1,2,0,6
"3","Aalst (Aalst)","41002","Gewestweg",1,0,2,1,2,0,6
"4","Aalter","44084","Autosnelweg",0,0,2,0,2,1,4
"5","Aalter","44084","Gewestweg",2,0,1,1,1,0,5
"6","Aarlen","81001","Autosnelweg",0,3,1,0,0,0,4
"7","Aarlen","81001","Gemeenteweg",0,1,0,0,1,0,2
"8","Aarlen","81001","Gewestweg",0,1,3,1,1,1,6
"9","Aarschot","24001","Gemeenteweg",0,0,2,2,0,1,4
"10","Aarschot","24001","Gewestweg",2,1,1,0,2,0,6
"11","Aarschot","24001","onbekend",0,0,1,0,0,0,1
"12","Aartselaar","11001","Autosnelweg",0,0,1,0,0,1,1
"13","Aartselaar","11001","Gemeenteweg",0,0,2,0,0,1,2
"14","Aartselaar","11001","Gewestweg",0,0,0,1,0,0,1
"15","Aat","51004","Autosnelweg",1,0,0,0,0,0,1
"16","Aat","51004","Gemeenteweg",0,0,2,1,0,0,3
"17","Aat","51004","Gewestweg",1,4,3,0,1,2,9
"18","Affligem","23105","Autosnelweg",0,0,0,1,0,0,1
"19","Affligem","23105","Gewestweg",0,1,0,0,0,1,1
"20","Aiseau-Presles","52074","Gemeenteweg",0,2,1,0,0,0,3
"21","Alken","73001","Gewestweg",1,0,0,0,0,0,1
"22","Alveringem","38002","Gewestweg",0,0,0,0,1,2,1
"23","Amay","61003","Gemeenteweg",0,1,0,0,0,0,1
"24","Amay","61003","Gewestweg",1,0,2,1,0,3,4
"25","Amel","63001","Gemeenteweg",1,0,0,1,0,0,2
"26","Andenne","92003","Gemeenteweg",0,0,0,1,1,0,2
"27","Andenne","92003","Gewestweg",0,2,1,2,2,1,7
"28","Andenne","92003","onbekend",1,0,0,0,0,0,1
"29","Anderlecht","21001","Autosnelweg",0,0,1,2,0,0,3
"30","Anderlecht","21001","Gemeenteweg",2,0,2,3,1,0,8
"31","Anderlecht","21001","Gewestweg",0,3,1,0,1,0,5
"32","Anderlues","56001","Gemeenteweg",0,0,0,1,0,1,1
"33","Anderlues","56001","Gewestweg",0,0,1,0,0,0,1
"34","Anhée","91005","Gemeenteweg",0,0,0,0,1,1,1
