"TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"Aalst (Aalst)","41002","Gemeenteweg",1,1,1,1,2,0,6
"Aarlen","81001","Gemeenteweg",0,1,0,0,1,0,2
"Aarschot","24001","Gemeenteweg",0,0,2,2,0,1,5
"Aartselaar","11001","Gemeenteweg",0,0,2,0,0,1,3
"Aat","51004","Gemeenteweg",0,0,2,1,0,0,3
"Aiseau-Presles","52074","Gemeenteweg",0,2,1,0,0,0,3
"Amay","61003","Gemeenteweg",0,1,0,0,0,0,1
"Amel","63001","Gemeenteweg",1,0,0,1,0,0,2
"Andenne","92003","Gemeenteweg",0,0,0,1,1,0,2
"Anderlecht","21001","Gemeenteweg",2,0,2,3,1,0,8
"Anderlues","56001","Gemeenteweg",0,0,0,1,0,1,2
"Anhée","91005","Gemeenteweg",0,0,0,0,1,1,2
"Ans","62003","Gemeenteweg",1,0,1,0,0,1,3
"Antwerpen","11002","Gemeenteweg",9,5,4,5,6,12,41
"Ardooie","37020","Gemeenteweg",0,2,1,0,1,0,4
"As","71002","Gemeenteweg",0,0,0,1,0,0,1
"Asse","23002","Gemeenteweg",0,1,0,1,3,1,6
"Assenede","43002","Gemeenteweg",2,0,0,3,1,0,6
"Aubange","81004","Gemeenteweg",0,0,1,0,0,0,1
"Awans","62006","Gemeenteweg",0,0,0,1,0,0,1
"Aywaille","62009","Gemeenteweg",1,0,0,0,0,0,1
"Balen","13003","Gemeenteweg",1,1,0,1,2,0,5
"Beaumont","56005","Gemeenteweg",0,3,0,0,0,0,3
"Beauraing","91013","Gemeenteweg",1,1,2,0,0,0,4
"Beernem","31003","Gemeenteweg",2,0,0,1,0,0,3
"Beerse","13004","Gemeenteweg",1,0,0,0,0,1,2
"Beersel","23003","Gemeenteweg",1,0,1,0,1,1,4
"Begijnendijk","24007","Gemeenteweg",0,0,0,1,1,0,2
"Bekkevoort","24008","Gemeenteweg",0,0,1,0,0,0,1
"Beloeil","51008","Gemeenteweg",0,0,1,1,1,1,4
"Bergen","53053","Gemeenteweg",2,2,4,2,0,1,11
"Beringen","71004","Gemeenteweg",0,0,0,0,1,1,2
"Berlaar","12002","Gemeenteweg",0,0,0,0,1,1,2
"Berlare","42003","Gemeenteweg",1,0,0,0,1,0,2
"Bernissart","51009","Gemeenteweg",1,0,0,0,1,0,2
"Bertem","24009","Gemeenteweg",0,1,1,0,0,1,3
"Bertrix","84009","Gemeenteweg",2,1,0,1,0,2,6
"Beveren (Sint-Niklaas)","46003","Gemeenteweg",1,2,1,3,1,5,13
"Bilzen","73006","Gemeenteweg",0,1,1,0,0,0,2
"Binche","58002","Gemeenteweg",0,1,1,0,0,0,2
"Bitsingen","62011","Gemeenteweg",0,0,1,2,0,0,3
"Bièvre","91015","Gemeenteweg",0,0,1,0,0,0,1
"Blankenberge","31004","Gemeenteweg",0,1,0,0,1,0,2
"Blegny","62119","Gemeenteweg",0,1,0,1,0,0,2
"Bonheiden","12005","Gemeenteweg",0,0,0,0,1,0,1
"Boortmeerbeek","24014","Gemeenteweg",0,0,1,0,0,0,1
"Borgloon","73009","Gemeenteweg",2,0,0,0,1,0,3
"Borgworm","64074","Gemeenteweg",1,2,0,0,0,0,3
"Bornem","12007","Gemeenteweg",0,2,1,0,0,2,5
"Braives","64015","Gemeenteweg",0,0,0,0,0,1,1
"Brasschaat","11008","Gemeenteweg",0,0,1,0,1,1,3
"Brecht","11009","Gemeenteweg",0,0,0,0,0,1,1
"Bree","72004","Gemeenteweg",0,2,0,0,1,1,4
"Brugge","31005","Gemeenteweg",0,1,2,3,1,3,10
"Brunehaut","57093","Gemeenteweg",0,0,1,0,0,0,1
"Brussel","21004","Gemeenteweg",4,2,4,1,2,1,14
"Buggenhout","42004","Gemeenteweg",0,0,1,0,0,0,1
"Burg-Reuland","63087","Gemeenteweg",1,0,1,0,1,1,4
"Büllingen","63012","Gemeenteweg",0,0,1,0,0,0,1
"Bütgenbach","63013","Gemeenteweg",0,1,0,0,0,0,1
"Cerfontaine","93010","Gemeenteweg",1,0,0,0,0,0,1
"Chapelle-lez-Herlaimont","52010","Gemeenteweg",1,0,0,0,1,0,2
"Charleroi","52011","Gemeenteweg",2,2,3,8,5,1,21
"Chaudfontaine","62022","Gemeenteweg",0,0,0,0,0,1,1
"Chimay","56016","Gemeenteweg",0,1,1,0,1,1,4
"Chiny","85007","Gemeenteweg",0,0,1,0,0,0,1
"Chièvres","51014","Gemeenteweg",1,0,0,0,0,0,1
"Ciney","91030","Gemeenteweg",2,1,1,0,0,0,4
"Clavier","61012","Gemeenteweg",0,0,1,0,0,0,1
"Colfontaine","53082","Gemeenteweg",0,0,0,0,1,0,1
"Courcelles","52015","Gemeenteweg",1,0,0,0,1,0,2
"Court-Saint-Etienne","25023","Gemeenteweg",0,1,0,0,0,0,1
"Couvin","93014","Gemeenteweg",0,1,0,0,1,0,2
"Crisnée","64021","Gemeenteweg",0,0,0,0,0,1,1
"Dalhem","62027","Gemeenteweg",1,0,0,0,0,0,1
"Damme","31006","Gemeenteweg",0,2,3,1,1,0,7
"De Haan","35029","Gemeenteweg",0,1,0,0,0,0,1
"De Panne","38008","Gemeenteweg",1,0,0,0,0,0,1
"De Pinte","44012","Gemeenteweg",0,0,0,0,1,0,1
"Deerlijk","34009","Gemeenteweg",0,1,1,0,0,0,2
"Deinze","44083","Gemeenteweg",2,1,1,1,0,0,5
"Dendermonde","42006","Gemeenteweg",0,1,0,1,0,1,3
"Dentergem","37002","Gemeenteweg",2,0,0,2,0,1,5
"Dessel","13006","Gemeenteweg",0,0,1,0,0,0,1
"Destelbergen","44013","Gemeenteweg",1,0,1,0,0,2,4
"Diepenbeek","71011","Gemeenteweg",0,0,0,1,0,1,2
"Diest","24020","Gemeenteweg",0,0,2,0,0,0,2
"Diksmuide","32003","Gemeenteweg",0,2,0,0,0,0,2
"Dilbeek","23016","Gemeenteweg",0,0,1,1,0,0,2
"Dilsen-Stokkem","72041","Gemeenteweg",1,1,0,1,0,2,5
"Dinant","91034","Gemeenteweg",0,0,1,0,0,1,2
"Dison","63020","Gemeenteweg",0,2,0,0,0,0,2
"Doische","93018","Gemeenteweg",0,0,0,0,1,0,1
"Donceel","64023","Gemeenteweg",0,1,0,0,0,0,1
"Doornik","57081","Gemeenteweg",1,2,2,2,1,3,11
"Dour","53020","Gemeenteweg",1,0,0,0,2,0,3
"Duffel","12009","Gemeenteweg",0,0,1,0,0,0,1
"Ecaussinnes","55050","Gemeenteweg",0,1,0,0,0,0,1
"Edegem","11013","Gemeenteweg",0,1,0,0,0,1,2
"Edingen","51067","Gemeenteweg",0,1,0,0,0,0,1
"Eeklo","43005","Gemeenteweg",0,1,0,0,0,0,1
"Eigenbrakel","25014","Gemeenteweg",0,0,0,2,0,1,3
"Elsene","21009","Gemeenteweg",1,3,1,0,1,0,6
"Engis","61080","Gemeenteweg",0,0,1,0,0,0,1
"Erquelinnes","56022","Gemeenteweg",1,1,0,1,1,0,4
"Esneux","62032","Gemeenteweg",0,0,0,1,0,0,1
"Essen","11016","Gemeenteweg",0,0,1,0,1,0,2
"Estaimpuis","57027","Gemeenteweg",0,0,0,0,1,0,1
"Estinnes","58003","Gemeenteweg",0,0,0,1,0,0,1
"Eupen","63023","Gemeenteweg",0,1,0,0,1,0,2
"Evere","21006","Gemeenteweg",1,1,0,0,0,0,2
"Evergem","44019","Gemeenteweg",2,1,0,0,0,0,3
"Farciennes","52018","Gemeenteweg",1,0,0,0,1,0,2
"Fleurus","52021","Gemeenteweg",0,0,0,1,0,0,1
"Florennes","93022","Gemeenteweg",0,0,0,0,0,1,1
"Florenville","85011","Gemeenteweg",0,0,1,0,1,1,3
"Flémalle","62120","Gemeenteweg",2,0,2,0,0,0,4
"Fontaine-l’Evêque","52022","Gemeenteweg",0,0,1,0,0,0,1
"Fosses-la-Ville","92048","Gemeenteweg",0,0,0,1,0,0,1
"Frameries","53028","Gemeenteweg",0,1,0,0,1,0,2
"Frasnes-lez-Anvaing","51065","Gemeenteweg",0,0,0,1,0,0,1
"Froidchapelle","56029","Gemeenteweg",2,0,1,3,1,1,8
